id,categoryId,country,country_en,name,description,description_en,person,phone,email,website,wechat,logo,capacity,capacity_en,size,size_en,export,export_en,commitment,commitment_en,AR,AS,AT,AU,product,product_en
1,3,"阿富汗","Afghanistan","Ansari Wahid Group of Companies","Ansari Wahid Group of Companies专注于高品质的农业及天然产品，包括苦杏仁、干燥的达姆沙克玫瑰以及优质精油。我们深深扎根于阿富汗肥沃的土地之上，将传统与创新相结合，采用环保的加工方式和可持续的种植方法。我们的竞争优势在于纯净度、真实性以及始终如一的国际级品质。","Ansari Wahid Group of Companies specializes in high-quality agricultural and natural products, including bitter almonds, dry Damask roses, and premium essential oils. With strong roots in Afghanistan’s fertile lands, we combine tradition with innovation, offering eco-friendly processing and sustainable cultivation. Our competitive advantage lies in purity, authenticity, and consistent international-grade quality.","Mrs. Sonita Anwari","暂无","AWG1399@gmail.com","www.anwariwahid.com","S_Anwari","images/SME/Ansari Wahid Group of Companies/logo.jpg","苦杏仁 1000 吨/季 干玫瑰 150 吨/季","Bitter Almond 1000 Ton/Season Dry Rose 150 Ton/Season","115人","115 persons","巴基斯坦、乌兹别克斯坦和阿联酋","Pakistan, Uzbekistan, and UAE","增强女性力量、扶持阿富汗农民以及推广环保型种植方式。","Empowering women, supporting Afghan farmers, and promoting eco-friendly cultivation.",,,,,"干玫瑰，苦杏仁，精油","Dry rose,Bitter almond,Essential oil"
2,3,"布隆迪","Burundi","KLARIZA SPRL","欢迎来到Klariza SPRL，这家布隆迪企业致力于采用辣木原料生产高品质天然化妆品。我们的使命是倡导自然之美与健康生活，同时支持可持续农业发展，并赋能社区女性。","Welcome to Klariza SPRL, a Burundian company dedicated to producing high-quality, natural cosmetics products from Moringa. Our mission is to promote natural beauty and wellness while supporting. Sustainable agriculture and empowering women in our community.","Mrs. Estella KAMARIZA","+257 79331250","Kcklariza.bdi@gmail.com","www.klariza.bi","wxid_25p2q1bmfa0a12","images/SME/KLARIZA SPRL/logo.jpg","10000升/月","10000Lts/month","35 人","35 Personne","卢旺达 / 乌干达 / 刚果民主共和国 / 黎巴嫩 / 比利时 / 法国 / 日本 / 德国","Rwanda / Uganda/ DR Congo Liban/ Belgium /France/ Japan / Germany","克拉丽莎有限责任公司致力于通过创造就业机会、推动可持续发展以及赋权布隆迪女性来履行社会责任。","Klariza SPRL is committed to social responsibility through job creation, sustainability, and empowering women in Burundi.",,,,,"辣木油，辣木身体润肤膏，辣木润唇膏，辣木皂","Moringa oil,Moringa body balm,Moringa lip balm,Moringa soap"
3,3,"喀麦隆","Cameroon","DIDA Clothing","DIDA是一家颂扬非洲文化与风格的服装公司。我们打造承载故事的精美服饰，支持本土工匠发展。DIDA致力于成为彰显非洲传统、弘扬美好价值观的时尚领军品牌。穿上DIDA，您就是在支持一项赋能社区、颂扬个性的积极运动。DIDA力求通过时尚创造改变，每套服饰都传递着独特的力量。DIDA赋能工匠，以全球影响力重塑非洲时尚。","DIDA is a clothing company that celebrates African culture and style. We create beautiful garments that tell stories and support local artisans. DIDA's goal is to be a leading fashion brand that showcases African heritage and promotes good values. By wearing DIDA, you're supporting a positive movement that empowers communities and celebrates individuality. DIDA aims to make a difference through fashion, one outfit at a time.
DIDA empowers artisans, redefining African fashion with global impact.","Ms Sunjo Tessy N.","+237 657 216 647","didafeelafrican@gmail.com","didaclothing.com","wxid_500c4qx4v8ny12","images/SME/DIDA Clothing/logo.jpg","每批100件","100 pieces per batch","15 人","15 persons","美国，英国，中国","United States, United Kingdom, China","青年与妇女赋权及可持续时尚","Youth and women empowerment and sustainable fashion",,,,,"手工刺绣，非洲印花服装","Hand made embroided,African print clothing"
4,3,"埃塞俄比亚","Ethiopia","Jano Handicraft Enterprise -- Shimena with Brand name","希梅纳——编织友谊，通过可持续纺织工艺展现埃塞俄比亚丰富的手工编织传统。愿景：赋权女性，守护埃塞俄比亚手工纺织遗产。","Shimena - Weaving Friendships showcases Ethiopia's rich handwoven heritage through sustainable textile craft. Vision: Empowering women and preserving Ethiopian handwoven textile heritage.","Mr. Firew Konjo","+251-916-854218"," Jannocraft5@gmail.com","www.shimena.net","Firew Konjo","images/SME/Jano Handicraft Enterprise_Shimena with Brand name/logo.jpg","800–1,000件/月","800–1,000 pieces/month","40-50 名工匠（多为女性和青年）","40-50 artisans (mostly women and youth)","美国、德国、肯尼亚","USA, Germany, Kenya","赋能女性与老年工匠，采用天然染色工艺，践行环保生产，开展植树造林，守护文化传承。","Empowering women and elderly artisans, natural dyeing, eco-friendly production, tree planting, and cultural preservation.",,,,,"手工编织围巾，披肩，斗篷，毛巾，手工编织披毯，桌旗，手工钩织的帽子","Handwoven scarves,Shawls,Ponchos,Towels,Handwoven throws,Table runners,Hand crocheted hat"
5,3,"加纳","Ghana","Sava Shea Company Limited","我们的目标是遵循循环经济原则，运用乳木果油及水果、种子等天然升级再造原料，打造可持续且注重实效的天然护肤产品。我们致力于与客户及供应商建立持久互信的合作关系，共同创造一个让乡村年轻女性的生活质量和环境得到切实改善的美好未来。","Our goal is to create sustainable and results-driven natural skincare products in accordance with circular economy principles using sheabutter and natural upcycled ingredients like fruits and seeds. Our vision is to nurture lasting and trusting partnerships with our customers and suppliers and create a future where the environment and the quality of life of rural young women improves in a meaningful way. ","Ms. Ruth Wewura Guribie","+233246990882","savasheabutter@gmail.com","www.savasheashop.com","暂无","images/SME/Sava Shea Company Limited/logo.jpg","5吨/月","5 tons/month","12 人","12 persons","肯尼亚、坦桑尼亚、赞比亚、巴巴多斯、沙特阿拉伯、英国","Kenya, Tanzania, Zambia, Barbados, Saudi Arabia, United Kingdom","我们为加纳北部农村年轻女性提供乳木果油加工与护肤品制作技能培训，助力她们摆脱贫困与依赖的循环。","We provide young rural women in Northern Ghana with skills training in shea butter processing and skincare production, empowering them to break free from the cycle of poverty and dependency. ",,,,,"身体乳，沐浴露，润唇膏，非洲黑皂，护发及身体乳霜，未精炼乳木果油和洗发水身体乳","Body creams,Shower gels,Lip balm,African black soap,Hair and body butters,Unrefined sheabutter and hair shampoos"
6,3,"约旦","Jordan","Green Fields Oils Factory","
绿野油厂（2004年创立于约旦）专业生产冷榨种子油与蒸汽蒸馏精油，并将其与天然基础油调配成即用型零售包装（15-250毫升规格）。这种独特的生产模式为买家节省了重新包装的时间与成本，确保产品具备ISO 22000认证的货架即用性，并已成功出口至美国和阿联酋市场。
","Green Fields Oils Factory (est. 2004, Jordan) produces cold-pressed seed oils and steam-distilled essential oils, blended with natural carrier oils and offered in ready-to-use retail packaging (15–250 ml). This unique focus saves buyers time and cost in repackaging, ensuring shelf-ready products with ISO 22000 certification and proven export success in the USA and UAE.","Mrs. Amina Al-Ramadna","+962777735070","Info@greenfieldsjo.com","greenfieldsjo.com","wxid_raivydx9rncp12","images/SME/Green Fields Oils Factory/logo.jpg","冷榨精油：全年各类品种总计约12-15公吨
即用型精油：全年约20,000–30,000单位","Cold-Pressed Oils: approx. 12-15 metric tons/year across all varieties. 
Ready-to-use essential oils: approx. 20,000–30,000 units/year.","14 人","14 persons","阿拉伯联合酋长国、美国、沙特阿拉伯、加拿大","United Arab Emirates, United States, Saudi Arabia, Canada","采用可回收环保包装。","Packaged in recyclable, eco-friendly packaging.",,,,,"即用型精油，冷榨油","Ready-to-use essential oils,Cold pressed oils"
7,3,"肯尼亚","Kenya","EVERYTHING MATERNITY KENYA","
Everything Maternity 是一个全方位孕产育儿品牌，致力于陪伴女性走过怀孕、分娩及产后阶段。我们提供孕产服饰、母婴健康产品、礼品方案及教育服务，所有产品均根据母亲需求量身定制。我们的优势在于融合关怀、舒适、时尚与创新，通过精心设计的解决方案，在女性人生最重要的蜕变旅程中赋能支持。","Everything Maternity is a holistic maternity and motherhood brand supporting women through pregnancy, childbirth, and postpartum. We provide maternity clothing, Mum and Baby wellness products, gifting solutions, and educational services tailored to mothers’ needs. Our strength lies in merging care, comfort, style, and innovation, offering curated solutions that empower and support women during their most transformative journey.","M/s Nduta Mwangi","+254 721601371","info@everythingmaternity.co.ke","Everythingmaternity.co.ke","wxid_r5n4c8lalz5622","images/SME/EVERYTHING MATERNITY KENYA/logo.jpg","孕妇装：2–5种色调
健康产品：8,000件","Maternity Clothing: 2–5 Tones.
Wellness Products:  8,000 Units","19 人","19 persons","乌干达、坦桑尼亚、卢旺达","Uganda, Tanzania, Rwanda","通过平价孕产必需品赋能女性；支持产妇健康与恢复，扶持女性供应商；促进女性创业。","Empowering women through affordable maternity essentials; supporting maternal wellness and recovery, uplifting women suppliers; promoting women’s entrepreneurship. ",,,,,"孕妇装与哺乳装，母婴健康必备品，产后及住院用品套装，礼品解决方案","Maternity & Nursing clothing,Baby & Mum wellness essentials,Postpartum & Hospital kits,Gifting solutions"
8,3,"肯尼亚","Kenya","Iko Ziwa Africa Ltd  -- Kiko Romeo","我们对可持续性充满热忱，致力于通过采用非洲大陆的手工织造与染色面料，以及手工雕刻的装饰边饰，为每件服饰注入持久生命力。面料主要选用天然纤维，包括棉、亚麻与丝绸。剪影设计优雅从容，细节处尽显匠心，令客户视之如艺术珍品。"," We are passionate about sustainability; striving to create longevity in each garment we create by using handmade and hand-dyed fabrics as well as hand-carved trims,sourced from the African continent. Our fabrics come mainly from natural fibers, including cottons, linens, and silk. The silhouettes are effortlessly elegant, with attention to detail. They are treasured as works of art by our clients. ","Ms. Silvia S. Wangeci Mwai","+254720777750","sales@kikoromeo.com","www.kikoromeo.com","wxid_um18xyy7khvc22","images/SME/Iko Ziwa Africa Ltd _Kiko Romeo/logo.jpg","每月生产100件手工服装和800件工厂制服装","100 handcrafted garments, 800 factory-produced per month","核心团队6人，关联200名工匠及3家工厂","Core team of 6, connected to 200 artisans & 3 factories","遍及非洲、英国、欧洲、美国、中国","Across Africa, UK, Europe, USA, China","以手工制作提升生计水平，管理层女性占比高，采用再生纺织品与生产实践，开展培训与知识共享。","Hand-crafting as a means of elevating livelihoods, a high percentage of women in the workforce in managerial positions, Regenerative textiles and production practices, training and knowledge sharing. ",,,,,"服装与服饰，纺织品&设计咨询&高端公司制服","Clothing & Apparel,Textiles& Design consulting& High-end company uniforms"
9,3,"吉尔吉斯斯坦","Kyrgyzstan","Union of handicraftsmen Kyrgyz Republic","吉尔吉斯共和国全国手工艺人联合会成立于1989年，汇聚了来自该国各地区的100余名个体手工艺人。女性工匠占比超过总人数的80%。在该工会的场所内设有手工艺作坊，生产陶瓷制品、羊毛及其他天然面料制成的室内装饰品、皮革制品（如包袋、帽子、枕套、围巾、玩具等）。","Union of National Handicraftsmen of the Kyrgyz Republic was founded in 1989 and brings together more than 100 individual handicraftsmen from all regions of the Kyrgyz Republic. Over 80% of the total number of artisans are women. At the premises of the Union of National Handicraftsmen are organized craft workshops that manufacture ceramics, interior products made of wool and other natural fabrics, leather goods, such as bags, hats, pillowcases, scarves, toys, etc.
","Ms. Kasymbekova Asel"," +996 508 877 774","info@crafts.kg","https://www.crafts.kg"," wxid_n0ywdapfu37z22","images/SME/Union of handicraftsmen Kyrgyz Republic/logo.jpg","50-1000件","50-1000pcs","100人","100persons","美国，欧洲，俄罗斯，中国
","USA, Europe, Russian Federation,China","雇佣更多女性。","To employ women in rural areas.
",,,,,"围巾，家居装饰品，玩具","Scarves,Home decorations,Toys"
10,3,"马达加斯加","Madagascar","MG SAKAY","MG SAKAY通过与300余家小农户建立公平合作关系，直接从自有种植园供应基础精油与植物油。凭借强大的可追溯体系和可持续采购模式，我们提供拉文茨拉、桉树、天竺葵、马鲁拉、木瓜树等独特精油，完美融合品质、纯正与社会影响力。","MG SAKAY offers essential and vegetable oils directly from our own plantations, in a fair partnership with over 300 smallholder farmers. With strong traceability and sustainable sourcing, we supply unique oils such as Ravintsara, Eucalyptus, Geranium, Marula, Calophyllum,… combining quality, authenticity, and social impact.","Mrs. Toavina RANDRIANTSOLOFO","+261 38 50 050 50","ceo@mgsakay.com; contact@mgsakay.com 
","mgsakay.com","Ala_manitra0 (MG SAKAY)","images/SME/MG SAKAY/logo.jpg","每月150-200kg","Up to 150 – 200 kg per month
","10名员工及通过合作伙伴关系参与的300多名小农户","10 employees and more than 300 smallholder farmers involved through partnerships","法国，德国，瑞士，中国，留尼汪岛","France, Germany, Switzerland, China, La Réunion","小农户赋权（尤其关注女性群体），推动可持续生态农业发展  ，收益向当地社区再分配  ，通过负责任采购保护生物多样性。","Empowerment of smallholder farmers,especially women.Promotion of sustainable and eco-friendly agriculture.Revenue redistribution to local communities Biodiversity protection through responsible sourcing.",,,,,"精油（热带香桃木精油、天竺葵精油、生姜精油、 Ravensara 精油、尼傲油、桉树精油……），植物油","Essential oils (Ravintsara, Geranium, Ginger, Ravensara, Niaouli, Eucalyptus,…) ,Vegetal oils"
